Course	CRN	Type	Dates	Days	Start	Finish	Room
ACCY001	15419	Lecture	Week of March 14 2016	W	17:40	18:30	RHLT2
ACCY001	15419	Lecture	Week of March 14 2016	M	16:10	17:00	MCLT101
ACCY001	15420	Lecture	Week of July 25 2016	M	16:10	17:00	HMLT205
ACCY001	15455	Lecture	Week of November 14 2016	W	9:30	10:20	GBLT2
ACCY111	6603	Lecture	Trimester 1	TW	16:10	17:00	MCLT101
ACCY111	6603	Workshop	Trimester 1	R	16:10	17:00	HMLT205
ACCY111	6604	Lecture	Trimester 1	W	11:00	11:50	SUMT228
ACCY111	6604	Lecture	Trimester 1	T	12:00	12:50	SUMT228
ACCY111	6604	Workshop	Trimester 1	R	11:00	11:50	SUMT228
ACCY111	6605	Lecture	Trimester 2	TR	15:10	16:00	KKLT303
ACCY111	6605	Workshop	Trimester 2	F	12:00	12:50	MCLT103
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	T	9:00	9:50	MY107
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	WRF	9:00	9:50	OK301
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	WF	10:00	10:50	AM102
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	TR	10:00	10:50	EA201
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	W	10:00	10:50	KK203
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	TR	10:00	10:50	MY107
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	F	10:00	10:50	OK301
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	M	10:00	10:50	VZ710
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	F	11:00	11:50	AM102
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	M	11:00	11:50	CO118
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	M	11:00	11:50	MY103
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	T	11:00	11:50	MY107
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	F	11:00	11:50	OK301
ACCY111	Tut	Tutorial	Trimester 1 (starts 3rd week)	T	11:00	11:50	VZ710
